
Buscando mesa en Conforama ... 
Número de intentos realizados: 0

Buscando mesa en IKEA ... 
         1214583 function calls (1189118 primitive calls) in 9.773 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:853(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:86(TreeBuilderRegistry)
        4    0.000    0.000    0.000    0.000 __init__.py:862(__init__)
     3765    0.007    0.000    0.016    0.000 __init__.py:867(object_was_parsed)
        1    0.000    0.000    0.000    0.000 __init__.py:88(InvalidCharacterErr)
        2    0.000    0.000    0.000    0.000 __init__.py:891(createLock)
     1539    0.004    0.000    0.004    0.000 __init__.py:906(_linkage_fixer)
        1    0.000    0.000    0.000    0.000 __init__.py:91(NoDataAllowedErr)
      594    0.000    0.000    0.001    0.000 __init__.py:91(_replace_charref)
        1    0.000    0.000    0.000    0.000 __init__.py:94(NoModificationAllowedErr)
        1    0.000    0.000    0.000    0.000 __init__.py:94(__init__)
     5697    0.013    0.000    0.025    0.000 __init__.py:950(_popToTag)
        1    0.000    0.000    0.000    0.000 __init__.py:97(NotFoundErr)
        1    0.000    0.000    0.000    0.000 __init__.py:98(register)
     5697    0.025    0.000    0.163    0.000 __init__.py:987(handle_starttag)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __meta__.py:123(_is_pre)
        1    0.000    0.000    0.000    0.000 __meta__.py:128(_is_dev)
        1    0.000    0.000    0.000    0.000 __meta__.py:133(_is_post)
        1    0.000    0.000    0.000    0.000 __meta__.py:143(_get_canonical)
        1    0.000    0.000    0.000    0.000 __meta__.py:40(Version)
        1    0.000    0.000    0.000    0.000 __meta__.py:83(__new__)
        1    0.000    0.000    0.001    0.001 _abnf.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _abnf.py:106(ABNF)
        1    0.000    0.000    0.000    0.000 _abnf.py:295(frame_buffer)
        1    0.000    0.000    0.000    0.000 _abnf.py:412(continuous_frame)
        1    0.000    0.000    0.004    0.004 _app.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _app.py:132(WrappedDispatcher)
        1    0.000    0.000    0.000    0.000 _app.py:159(WebSocketApp)
        1    0.000    0.000    0.000    0.000 _app.py:48(DispatcherBase)
        1    0.000    0.000    0.000    0.000 _app.py:73(Dispatcher)
        1    0.000    0.000    0.000    0.000 _app.py:96(SSLDispatcher)
        1    0.000    0.000    0.023    0.023 _base_connection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base_connection.py:12(ProxyConfig)
        1    0.000    0.000    0.000    0.000 _base_connection.py:19(_ResponseOptions)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _collections.py:102(__setitem__)
        2    0.000    0.000    0.000    0.000 _collections.py:143(clear)
        1    0.000    0.000    0.000    0.000 _collections.py:158(HTTPHeaderDictItemView)
       12    0.000    0.000    0.000    0.000 _collections.py:189(__init__)
       12    0.000    0.000    0.000    0.000 _collections.py:195(__iter__)
        1    0.000    0.000    0.000    0.000 _collections.py:206(HTTPHeaderDict)
       40    0.000    0.000    0.002    0.000 _collections.py:242(__init__)
       96    0.000    0.000    0.000    0.000 _collections.py:259(__getitem__)
      180    0.000    0.000    0.000    0.000 _collections.py:291(__iter__)
      112    0.000    0.000    0.000    0.000 _collections.py:302(add)
       28    0.000    0.000    0.001    0.000 _collections.py:337(extend)
       48    0.000    0.000    0.000    0.000 _collections.py:378(getlist)
        1    0.000    0.000    0.000    0.000 _collections.py:41(_Sentinel)
       12    0.000    0.000    0.000    0.000 _collections.py:425(_copy_from)
       12    0.000    0.000    0.000    0.000 _collections.py:430(copy)
       60    0.000    0.000    0.000    0.000 _collections.py:435(iteritems)
       12    0.000    0.000    0.000    0.000 _collections.py:448(items)
        1    0.000    0.000    0.000    0.000 _collections.py:65(RecentlyUsedContainer)
        3    0.000    0.000    0.000    0.000 _collections.py:84(__init__)
       16    0.000    0.000    0.000    0.000 _collections.py:95(__getitem__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
       21    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
      127    0.000    0.000    0.001    0.000 _collections_abc.py:657(get)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:676(items)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
      324    0.000    0.000    0.001    0.000 _collections_abc.py:742(__iter__)
       12    0.000    0.000    0.000    0.000 _collections_abc.py:824(update)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.002    0.002 _cookiejar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cookiejar.py:24(SimpleCookieJar)
        1    0.000    0.000    0.000    0.000 _cookiejar.py:25(__init__)
        1    0.000    0.000    0.003    0.003 _core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _core.py:39(WebSocket)
        1    0.000    0.000    0.000    0.000 _deprecation.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _deprecation.py:22(_deprecated_alias)
       18    0.000    0.000    0.000    0.000 _deprecation.py:51(_deprecated_function_alias)
       14    0.000    0.000    0.000    0.000 _deprecation.py:66(_deprecated)
       14    0.000    0.000    0.000    0.000 _deprecation.py:67(deprecate)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:21(WebSocketException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:29(WebSocketProtocolException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:37(WebSocketPayloadException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:45(WebSocketConnectionClosedException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:54(WebSocketTimeoutException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:62(WebSocketProxyException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:70(WebSocketBadStatusException)
        1    0.000    0.000    0.000    0.000 _exceptions.py:89(WebSocketAddressException)
        1    0.000    0.000    0.003    0.003 _handshake.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _handshake.py:48(handshake_response)
        1    0.000    0.000    0.000    0.000 _html5lib.py:2(<module>)
     5697    0.023    0.000    0.195    0.000 _htmlparser.py:142(handle_starttag)
        1    0.000    0.000    0.003    0.003 _htmlparser.py:2(<module>)
     5697    0.012    0.000    0.075    0.000 _htmlparser.py:204(handle_endtag)
     3496    0.003    0.000    0.005    0.000 _htmlparser.py:222(handle_data)
        6    0.000    0.000    0.000    0.000 _htmlparser.py:266(handle_entityref)
      280    0.000    0.000    0.005    0.000 _htmlparser.py:285(handle_comment)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:330(HTMLParserTreeBuilder)
        2    0.000    0.000    0.000    0.000 _htmlparser.py:347(__init__)
        4    0.000    0.000    0.000    0.000 _htmlparser.py:377(prepare_markup)
        2    0.000    0.000    0.494    0.247 _htmlparser.py:449(feed)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:61(BeautifulSoupHTMLParser)
        2    0.000    0.000    0.000    0.000 _htmlparser.py:84(__init__)
        1    0.000    0.000    0.001    0.001 _http.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _http.py:45(ProxyError)
        1    0.000    0.000    0.000    0.000 _http.py:48(ProxyTimeoutError)
        1    0.000    0.000    0.000    0.000 _http.py:51(ProxyConnectionError)
        1    0.000    0.000    0.000    0.000 _http.py:55(proxy_info)
        1    0.000    0.000    0.000    0.000 _logging.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _lxml.py:2(<module>)
